ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  440000         0.0000         0.0000         0.0000         0.0000          -5615.1814       414.4714         0.0000         0.0000       924.9611          -4275.7490       293.8520     -5200.7100     -4273.8593       300.1694           -198.2923      -176.1365     22779.2937      -209.9916      -210.0394
ENERGY:  445000         0.0000         0.0000         0.0000         0.0000          -5615.4263       403.5126         0.0000         0.0000       961.9800          -4249.9337       305.6126     -5211.9137     -4247.3705       299.6314           -580.6809      -548.4344     23298.8970      -223.9855      -223.9713
ENERGY:  450000         0.0000         0.0000         0.0000         0.0000          -5655.2005       372.9828         0.0000         0.0000       961.2736          -4320.9441       305.3882     -5282.2178     -4318.0224       299.0797           -704.4551      -674.7421     22820.4157      -264.4698      -264.5721
ENERGY:  455000         0.0000         0.0000         0.0000         0.0000          -5614.1369       374.6907         0.0000         0.0000       953.5464          -4285.8998       302.9333     -5239.4462     -4284.4219       293.8097           -628.9635      -597.9165     22562.0785      -184.7415      -184.8118
ENERGY:  460000         0.0000         0.0000         0.0000         0.0000          -5562.8134       349.1472         0.0000         0.0000       980.0301          -4233.6361       311.3469     -5213.6662     -4230.9648       299.9935           -447.2949      -435.7230     22422.1552      -171.8404      -171.8045
ENERGY:  465000         0.0000         0.0000         0.0000         0.0000          -5559.8780       397.5629         0.0000         0.0000       951.7170          -4210.5981       302.3521     -5162.3152     -4209.6052       305.0563             14.5460        35.7667     22618.2773      -217.4995      -217.5844
ENERGY:  470000         0.0000         0.0000         0.0000         0.0000          -5533.1407       360.4149         0.0000         0.0000       940.7909          -4231.9349       298.8810     -5172.7258     -4230.1503       301.1802           -358.7299      -348.2031     22560.7081      -223.8798      -223.8797
ENERGY:  475000         0.0000         0.0000         0.0000         0.0000          -5590.1069       420.1996         0.0000         0.0000       961.5873          -4208.3199       305.4879     -5169.9073     -4207.0244       301.9311            536.2723       546.9050     22527.4017      -209.7350      -209.6742
ENERGY:  480000         0.0000         0.0000         0.0000         0.0000          -5620.9036       406.5540         0.0000         0.0000      1007.6843          -4206.6653       320.1324     -5214.3496     -4204.5581       300.6348           -163.8155      -131.5810     22801.4168      -229.6031      -229.6705
ENERGY:  485000         0.0000         0.0000         0.0000         0.0000          -5655.8667       450.3278         0.0000         0.0000       939.0718          -4266.4671       298.3349     -5205.5389     -4263.1715       300.7043            209.0487       232.1763     22734.6719      -236.7277      -236.8250
ENERGY:  490000         0.0000         0.0000         0.0000         0.0000          -5516.3199       362.3575         0.0000         0.0000       947.5679          -4206.3945       301.0340     -5153.9624     -4203.6170       301.7592           -530.3508      -511.0091     23062.4365      -170.7843      -170.7022
ENERGY:  495000         0.0000         0.0000         0.0000         0.0000          -5583.1526       381.9894         0.0000         0.0000       910.2586          -4290.9046       289.1812     -5201.1632     -4288.0256       301.5478           -216.2804      -210.8244     22568.3977      -228.0313      -228.0276
ENERGY:  500000         0.0000         0.0000         0.0000         0.0000          -5533.3812       369.3137         0.0000         0.0000       945.6770          -4218.3905       300.4333     -5164.0676     -4215.6440       301.0852           -387.1114      -367.5702     22910.8161      -214.8752      -214.7038
