# step Etot Epot T p 
482 -4874.5453 -4874.5453 0.0 1230.6454 
483 -4874.5754 -4874.5754 0.0 1229.0559 
484 -4874.5867 -4874.5867 0.0 1228.2926 
485 -4874.5914 -4874.5914 0.0 1227.9204 
486 -4874.5934 -4874.5934 0.0 1227.7421 
487 -4874.5943 -4874.5943 0.0 1227.653 
488 -4874.595 -4874.595 0.0 1227.6042 
489 -4874.5953 -4874.5953 0.0 1227.5825 
490 -4874.5954 -4874.5954 0.0 1227.5718 
491 -4874.1096 -4874.1096 0.0 1242.5849 
492 -4874.4516 -4874.4516 0.0 1234.1264 
493 -4874.5457 -4874.5457 0.0 1230.6276 
494 -4874.5755 -4874.5755 0.0 1229.0494 
495 -4874.5867 -4874.5867 0.0 1228.2934 
496 -4874.5914 -4874.5914 0.0 1227.9255 
497 -4874.5933 -4874.5933 0.0 1227.7497 
498 -4874.5942 -4874.5942 0.0 1227.6619 
499 -4874.5949 -4874.5949 0.0 1227.6138 
500 -4874.5952 -4874.5952 0.0 1227.5926 
501 -4874.5953 -4874.5953 0.0 1227.582 
502 -4874.1097 -4874.1097 0.0 1242.5912 
503 -4874.4437 -4874.4437 0.0 1234.3811 
504 -4874.5419 -4874.5419 0.0 1230.8136 
505 -4874.5736 -4874.5736 0.0 1229.1677 
506 -4874.5858 -4874.5858 0.0 1228.3653 
507 -4874.5909 -4874.5909 0.0 1227.9701 
508 -4874.593 -4874.593 0.0 1227.7787 
509 -4874.594 -4874.594 0.0 1227.6824 
510 -4874.5945 -4874.5945 0.0 1227.6345 
511 -4874.595 -4874.595 0.0 1227.6058 
512 -4874.5951 -4874.5951 0.0 1227.5939 
513 -4874.109 -4874.109 0.0 1242.6069 
514 -4874.4446 -4874.4446 0.0 1234.3528 
515 -4874.5422 -4874.5422 0.0 1230.7976 
516 -4874.5737 -4874.5737 0.0 1229.1611 
517 -4874.5857 -4874.5857 0.0 1228.3666 
518 -4874.5908 -4874.5908 0.0 1227.976 
519 -4874.5929 -4874.5929 0.0 1227.7873 
520 -4874.5939 -4874.5939 0.0 1227.6925 
521 -4874.5944 -4874.5944 0.0 1227.6454 
